职位名称,公司名称,月薪范围,工作地点,经验要求,学历要求,招聘人数,发布日期
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-11000元/月","武汉 - 东西湖 - 吴家山","不限","不限","5","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","8000-12000元/月","武汉 - 江汉","不限","不限","5","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","7800-11800元/月","武汉 - 东西湖 - 常青花园","不限","不限","6","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-11000元/月","武汉 - 洪山 - 光谷广场","不限","不限","5","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","10000-12000元/月","武汉 - 洪山 - 广埠屯","不限","不限","20","更新: 今天"
"网约车司机","武汉市鑫亿智行汽车科技有限公司","8000-12000元/月","武汉 - 江岸 - 三阳路","3-5年","高中","8","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","10000-12000元/月","武汉 - 洪山 - 光谷广场","不限","不限","20","更新: 今天"
"送餐员/外卖骑手","武汉壹刻啦同城科技有限公司","6000-9000元/月","武汉 - 武昌 - 武泰闸","不限","不限","10","更新: 今天"
"网约车司机","武汉市人人驾享汽车科技有限公司","10000-12000元/月","武汉 - 沌口开发区 - 金色港湾","不限","不限","10","更新: 今天"
"电话客服","中国人寿保险股份有限公司武汉市分公司","8000-9000元/月","武汉","3-5年","大专","","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","9000-12000元/月","武汉 - 洪山 - 关山","不限","不限","20","更新: 今天"
"商务司机","杭州优行科技有限公司（曹操出行）","10000-12000元/月","武汉 - 江岸 - 后湖","不限","不限","99","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","9000-12000元/月","武汉 - 汉阳 - 升官渡","不限","不限","11","更新: 今天"
"网约车司机","武汉市人人驾享汽车科技有限公司","10000-12000元/月","武汉 - 沌口开发区 - 体育中心","不限","不限","10","更新: 今天"
"商务司机","武汉东辰顺行汽车销售服务有限公司","9000-12000元/月","武汉 - 武昌 - 徐家棚","不限","不限","12","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","6000-7000元/月","武汉 - 江夏 - 纸坊","不限","不限","20","更新: 今天"
"网约车司机","武汉东辰悦行汽车服务有限公司","8000-12000元/月","武汉 - 汉阳 - 王家湾","不限","不限","10","更新: 今天"
"商务司机","武汉东辰悦行汽车服务有限公司","8000-12000元/月","武汉 - 黄陂","不限","不限","10","更新: 今天"
"网约车司机","武汉瀚海新能源汽车科技有限公司","8500-12000元/月","武汉 - 江汉 - 万松园","不限","不限","20","更新: 今天"
"网约车司机","杭州优行科技有限公司（曹操出行）","10000-12000元/月","武汉 - 江岸 - 后湖","不限","不限","99","更新: 今天"
"商务司机","武汉嗨途企业管理有限公司","8000-11800元/月","武汉 - 东西湖 - 吴家山","不限","不限","3","更新: 今天"
"货运司机","天津五八到家货运服务有限公司","7000-13000元/月","武汉 - 汉阳","不限","不限","70","更新: 今天"
"直播运营","武汉快畅信息技术有限公司","10000-12000元/月","武汉 - 江夏 - 藏龙岛","1-2年","不限","1","更新: 今天"
"客运司机","滴滴出行（北京）网络平台技术有限公司","7500-11000元/月","武汉 - 东西湖 - 常青花园","1年以下","高中","20","更新: 今天"
"客运司机","滴滴出行（北京）网络平台技术有限公司","7500-12000元/月","武汉 - 东西湖 - 常青花园","不限","不限","20","更新: 今天"
"货运司机","天津五八到家货运服务有限公司","11000-13000元/月","武汉 - 汉阳","不限","不限","500","更新: 今天"
"网约车司机","武汉森湖汽车销售有限公司","8500-12000元/月","武汉 - 东西湖 - 常青花园","不限","不限","30","更新: 今天"
"网约车司机","武汉森湖汽车销售有限公司","8000-12000元/月","武汉 - 东西湖 - 常青花园","不限","不限","30","更新: 今天"
"出租车司机","武汉嗨途企业管理有限公司","8000-11999元/月","武汉 - 沌口开发区 - 阳光丽景","不限","不限","10","更新: 今天"
"商务司机","武汉多乐汽车服务有限公司","7800-11900元/月","武汉 - 武昌 - 中北路","不限","不限","3","更新: 今天"
"商务司机","武汉多乐汽车服务有限公司","6500-9000元/月","武汉 - 黄陂 - 前川","不限","不限","3","更新: 今天"
"模特","广州市唯高劳务服务有限公司","9800-13800元/月","武汉 - 江岸 - 江汉路","不限","不限","20","更新: 今天"
"货运司机","武汉捷呈物流有限公司","8200-8500元/月","武汉 - 江夏","1-2年","不限","2","更新: 今天"
"装卸/搬运工","武汉鑫久盛人力资源有限公司","7000-9000元/月","武汉 - 新洲","不限","不限","50","更新: 今天"
"KTV服务员","武汉市寰宇星娱乐有限公司","7000-8000元/月","武汉 - 洪山 - 街道口","1年以下","不限","5","更新: 今天"
"货运司机","武汉小马快跑物流有限公司","8500-12000元/月","武汉 - 东西湖","不限","不限","10","更新: 今天"
"餐饮收银","武汉好鼎盛兴业酒店有限公司","4500-5500元/月","武汉 - 江岸","不限","不限","2","更新: 今天"
"娱乐场所店员","武汉光耀娱乐有限公司","6800-7800元/月","武汉 - 武昌 - 中南路","不限","不限","","更新: 今天"
"普工/操作工","鸿富锦精密工业（武汉）有限公司","7200-8500元/月","武汉 - 江夏","不限","不限","200","更新: 今天"
"食堂厨师","武汉康新餐饮管理有限公司","6000-6500元/月","武汉 - 沌口开发区 - 沌口周边","不限","不限","4","更新: 今天"
"装卸/搬运工","武汉德鑫达物流服务有限公司","6000-8000元/月","武汉 - 东西湖","1-2年","不限","","更新: 5 天前"
"KTV服务员","武汉市纯歌文化娱乐有限公司","3750-5500元/月","武汉 - 江汉 - 西北湖","不限","不限","2","更新: 今天"
"普工/操作工","武汉诚纳人力资源有限公司","6000-8000元/月","武汉 - 沌口开发区 - 郭徐岭广场","不限","不限","20","更新: 今天"
"娱乐场所店员","武汉市洪山区心海蓝湾娱乐中心（个体工商户）","5000-8000元/月","武汉 - 洪山 - 关山","不限","不限","9","更新: 今天"
"普工/操作工","湖北蓝领快聘人力资源有限公司","7000-8500元/月","武汉 - 江夏 - 流芳","不限","不限","30","更新: 今天"
"售前客服","创赫房地产经纪（武汉）有限公司","6000-12000元/月","武汉 - 洪山 - 光谷东","不限","不限","6","更新: 今天"
"配/理/拣/发货","中国邮政速递物流股份有限公司湖北省分公司","5500-7500元/月","武汉 - 江夏 - 流芳","不限","不限","50","更新: 今天"
"组装/装配工","江西海纳人力资源有限公司（海纳）","7000-8000元/月","武汉","不限","不限","65","更新: 今天"
"普工/操作工","湖北储才人力资源服务有限公司","7000-8500元/月","武汉 - 洪山","不限","不限","300","更新: 今天"
"保安","中京保安服务（北京）有限公司湖北分公司","3800-5500元/月","武汉 - 江汉 - 王家墩CBD","不限","不限","30","更新: 今天"
"洗碗工","武汉兆穗餐饮管理有限公司","2400-2500元/月","武汉 - 洪山 - 卓刀泉","不限","不限","1","更新: 今天"
"普工/操作工","河南锐峰教育科技有限公司","6000-8000元/月","武汉 - 洪山","不限","不限","200","更新: 今天"
"娱乐场所店员","武汉盛扬文化传媒有限公司","8000-12000元/月","武汉 - 武昌 - 武昌火车站","不限","不限","","更新: 今天"
"质量管理/测试","武汉中佑人才发展有限公司","6000-8000元/月","武汉","不限","不限","100","更新: 今天"
"普工/操作工","武汉市中仪科技有限公司","7000-8500元/月","武汉 - 蔡甸","不限","不限","88","更新: 今天"
"普工/操作工","名幸电子（武汉）有限公司","5300-6900元/月","武汉 - 沌口开发区","不限","不限","50","更新: 今天"
"保安","中京保安服务（北京）有限公司湖北分公司","3800-4000元/月","武汉","不限","不限","5","更新: 今天"
"收银员","武汉市江汉区迷恋歌厅","6000-6500元/月","武汉 - 江汉 - 常青","不限","不限","10","更新: 今天"
"普工/操作工","武汉恩企人力资源有限公司","7000-8000元/月","武汉 - 蔡甸","不限","不限","120","更新: 今天"
"美容师","武汉市江岸区诺梵狄妮美容院","7000-12000元/月","武汉 - 洪山","3-5年","不限","5","更新: 今天"
"切割工","武汉长岗智能装备有限公司","8000-15000元/月","武汉 - 蔡甸 - 蔡甸城区","1-2年","不限","","更新: 今天"
"保安","湖北今日保安服务有限公司武汉分公司","4000-4500元/月","武汉 - 汉阳 - 十里铺","不限","不限","3","更新: 11 小时前"
"按摩师","武汉市东湖新技术开发区冬之桃耳养生保健店（个体工商户）","10000-12000元/月","武汉 - 洪山 - 关西","不限","不限","5","更新: 今天"
"生鲜加工","武汉九轮和一餐饮管理有限公司","5000-6000元/月","武汉 - 东西湖","不限","不限","5","更新: 今天"
"美容师","武汉市武昌区凤彩美容店","8000-12000元/月","武汉 - 江岸 - 后湖","不限","不限","3","更新: 今天"
"销售顾问","三亚爱典婚纱摄影有限公司","12000-20000元/月","武汉 - 硚口 - 古田","不限","高中","10","更新: 今天"
"厨师","湖北海晟船舶有限公司","9000-14500元/月","武汉","不限","不限","5","更新: 今天"
"普工/操作工","武汉市中仪科技有限公司","7500-8000元/月","武汉 - 江汉 - 汉口火车站","不限","不限","99","更新: 今天"
"后厨","武汉东湖新技术开发区唐后桂餐饮店","5000-6000元/月","武汉","不限","不限","5","更新: 今天"
"市场营销经理/主管","湖北樱派对娱乐有限公司","6000-12000元/月","武汉 - 武昌 - 粮道街","不限","不限","2","更新: 今天"
"网约车司机","武汉宏信军创汽车服务有限公司","6000-11000元/月","武汉 - 江岸 - 后湖","1-2年","不限","","更新: 7 天前"
"娱乐场所店员","武汉市江夏区星光音乐吧（个体工商户）","面议","武汉 - 江夏","不限","不限","99","更新: 今天"
"网约车司机","武汉市鑫亿智行汽车科技有限公司","8000-12000元/月","武汉 - 江岸 - 建设大道","不限","不限","39","更新: 今天"
"网约车司机","武汉睿鹏出行科技有限公司","8000-12000元/月","武汉 - 武昌 - 武昌火车站","不限","不限","2","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-11000元/月","武汉 - 洪山 - 光谷广场","不限","不限","5","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-11000元/月","武汉 - 汉阳 - 王家湾","不限","不限","5","更新: 今天"
"网约车司机","武汉睿鹏出行科技有限公司","8000-12000元/月","武汉 - 武昌 - 武昌火车站","不限","不限","3","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","8000-12000元/月","武汉 - 武昌 - 积玉桥","不限","不限","6","更新: 今天"
"网约车司机","武汉市人人驾享汽车科技有限公司","10000-12000元/月","武汉 - 沌口开发区 - 金色港湾","不限","不限","10","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","8000-12000元/月","武汉 - 汉阳 - 王家湾","不限","不限","10","更新: 今天"
"美容导师","武汉市武昌区东湖焰彩美容院","5000-8000元/月","武汉 - 武昌 - 东亭","不限","不限","","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","8000-12000元/月","武汉 - 江岸 - 百步亭","不限","不限","9","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","8000-12000元/月","武汉 - 江岸 - 江汉路","不限","不限","5","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","8500-12000元/月","武汉 - 东西湖 - 吴家山","不限","不限","10","更新: 今天"
"商务司机","武汉嗨途企业管理有限公司","8000-12000元/月","武汉 - 东西湖 - 吴家山","不限","不限","30","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","8000-12000元/月","武汉 - 江岸 - 大智路","不限","不限","20","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","8000-12000元/月","武汉 - 汉阳 - 四新","不限","不限","20","更新: 今天"
"网约车司机","武汉东辰悦行汽车服务有限公司","8000-12000元/月","武汉 - 武昌 - 徐家棚","不限","不限","10","更新: 今天"
"客运司机","武汉东辰顺行汽车销售服务有限公司","9000-12000元/月","武汉 - 黄陂 - 前川","不限","不限","30","更新: 今天"
"网约车司机","武汉东辰悦行汽车服务有限公司","7000-9000元/月","武汉 - 汉阳 - 鹦鹉","不限","不限","10","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-10000元/月","武汉 - 江夏 - 金融港","不限","不限","20","更新: 今天"
"游戏运营","湖南聚福商务咨询有限公司","4000-6000元/月","武汉 - 洪山 - 光谷软件园","不限","不限","3","更新: 今天"
"商务司机","杭州优行科技有限公司（曹操出行）","8000-12000元/月","武汉 - 江岸 - 后湖","不限","不限","99","更新: 今天"
"客运司机","杭州优行科技有限公司（曹操出行）","9000-12000元/月","武汉 - 江岸 - 后湖","不限","不限","99","更新: 今天"
"商务司机","武汉多乐汽车服务有限公司","7000-12000元/月","武汉 - 江夏 - 纸坊","不限","不限","6","更新: 今天"
"网约车司机","滴滴出行（北京）网络平台技术有限公司","6000-8000元/月","武汉 - 洪山","不限","不限","20","更新: 今天"
"网约车司机","武汉森湖汽车销售有限公司","8000-12000元/月","武汉 - 东西湖 - 吴家山","不限","不限","","更新: 今天"
"网约车司机","武汉森湖汽车销售有限公司","8000-12000元/月","武汉 - 东西湖 - 常青花园","不限","不限","30","更新: 今天"
"货运司机","天津五八到家货运服务有限公司","9000-11000元/月","武汉 - 汉阳","不限","不限","60","更新: 今天"
"客运司机","滴滴出行（北京）网络平台技术有限公司","7700-11500元/月","武汉 - 武昌 - 徐东","不限","不限","20","更新: 今天"
